time,amplitude
0.0000,5.912
0.0100,9.067
0.0200,0.497
0.0300,13.085
0.0400,13.051
0.0500,8.212
0.0600,14.611
0.0700,12.615
0.0800,14.690
0.0900,10.692
0.1000,15.214
0.1100,6.005
0.1200,12.099
0.1300,5.984
0.1400,10.988
0.1500,1.712
0.1600,1.065
0.1700,-6.475
0.1800,-8.010
0.1900,-3.357
0.2000,-0.286
0.2100,-6.011
0.2200,-12.100
0.2300,-9.744
0.2400,-5.869
0.2500,-13.666
0.2600,-12.163
0.2700,-9.253
0.2800,-7.423
0.2900,-10.024
0.3001,-8.493
0.3101,0.749
0.3201,-0.487
0.3301,-0.325
0.3401,-1.708
0.3501,2.200
0.3601,0.990
0.3701,10.575
0.3801,2.613
0.3901,16.863
0.4001,5.947
0.4101,3.552
0.4201,7.871
0.4301,3.863
0.4401,8.112
0.4501,10.438
0.4601,5.972
0.4701,7.421
0.4801,2.397
0.4901,-0.041
0.5001,1.673
0.5101,-1.400
0.5201,-7.535
0.5301,1.728
0.5401,-4.237
0.5501,-6.623
0.5601,-10.036
0.5701,-3.430
0.5801,-1.383
0.5901,-8.671
0.6001,-2.142
0.6101,-8.028
0.6201,-14.943
0.6301,-5.802
0.6401,-7.479
0.6501,-3.628
0.6601,-0.561
0.6701,0.857
0.6801,-0.256
0.6901,4.477
0.7001,1.446
0.7101,-1.112
0.7201,4.006
0.7301,8.091
0.7401,7.015
0.7501,11.831
0.7601,12.688
0.7701,7.250
0.7801,1.758
0.7901,-1.112
0.8001,10.527
0.8101,4.556
0.8201,0.700
0.8301,-1.652
0.8401,-5.379
0.8501,1.108
0.8601,-3.501
0.8701,0.769
0.8801,-4.798
0.8901,0.354
0.9002,-5.192
0.9102,-6.064
0.9202,-1.177
0.9302,-1.093
0.9402,-8.238
0.9502,-8.345
0.9602,0.241
0.9702,-10.551
0.9802,-4.558
0.9902,-0.200
1.0002,9.915
1.0102,-0.255
1.0202,-2.392
1.0302,-1.600
1.0402,-4.391
1.0502,5.180
1.0602,-1.550
1.0702,0.924
1.0802,-1.335
1.0902,7.313
1.1002,-4.622
1.1102,-1.851
1.1202,2.876
1.1302,0.134
1.1402,5.932
1.1502,2.199
1.1602,0.980
1.1702,3.917
1.1802,-2.147
1.1902,4.290
1.2002,6.282
1.2102,-7.682
1.2202,-11.329
1.2302,2.461
1.2402,-5.467
1.2502,-7.254
1.2602,-14.833
1.2702,-6.197
1.2802,-3.391
1.2902,-1.656
1.3002,-2.307
1.3102,-6.193
1.3202,3.767
1.3302,-6.183
1.3402,6.063
1.3502,0.293
1.3602,-4.546
1.3702,4.273
1.3802,7.489
1.3902,-1.998
1.4002,3.763
1.4102,3.538
1.4202,6.575
1.4302,4.715
1.4402,8.283
1.4502,11.803
1.4602,-1.487
1.4702,0.346
1.4802,-3.441
1.4902,-7.969
1.5003,1.819
1.5103,0.366
1.5203,-1.626
1.5303,-1.165
1.5403,-6.389
1.5503,1.707
1.5603,1.117
1.5703,-2.358
1.5803,0.287
1.5903,-0.865
1.6003,-3.288
1.6103,0.136
1.6203,-3.298
1.6303,-5.001
1.6403,-3.536
1.6503,-1.990
1.6603,-4.446
1.6703,-4.049
1.6803,-0.255
1.6903,4.412
1.7003,6.354
1.7103,2.380
1.7203,2.058
1.7303,1.701
1.7403,-3.057
1.7503,3.280
1.7603,2.677
1.7703,0.712
1.7803,8.544
1.7903,4.784
1.8003,4.946
1.8103,-2.141
1.8203,-6.859
1.8303,2.732
1.8403,1.256
1.8503,-1.632
1.8603,4.730
1.8703,1.619
1.8803,-0.272
1.8903,-1.703
1.9003,-5.265
1.9103,-5.272
1.9203,-4.235
1.9303,-1.588
1.9403,-3.139
1.9503,-3.440
1.9603,3.703
1.9703,-5.819
1.9803,8.196
1.9903,-0.476
2.0003,1.729
2.0103,-8.478
2.0203,-2.918
2.0303,4.534
2.0403,3.658
2.0503,-1.594
2.0603,1.342
2.0703,0.551
2.0803,-4.782
2.0903,4.395
2.1004,5.649
2.1104,2.342
2.1204,-3.336
2.1304,-4.665
2.1404,-6.365
2.1504,-1.262
2.1604,-2.419
2.1704,-3.811
2.1804,-3.564
2.1904,3.711
2.2004,-3.203
2.2104,-2.832
2.2204,0.944
2.2304,-0.884
2.2404,-5.225
2.2504,-4.150
2.2604,1.119
2.2704,1.041
2.2804,1.047
2.2904,-2.121
2.3004,-1.081
2.3104,-0.691
2.3204,3.418
2.3304,3.212
2.3404,-0.556
2.3504,-5.228
2.3604,-0.463
2.3704,-3.171
2.3804,1.958
2.3904,-8.216
2.4004,2.014
2.4104,-5.291
2.4204,-2.764
2.4304,2.548
2.4404,4.421
2.4504,-1.092
2.4604,-3.814
2.4704,-4.807
2.4804,3.628
2.4904,8.854
2.5004,0.357
2.5104,2.353
2.5204,2.434
2.5304,0.497
2.5404,-4.925
2.5504,0.552
2.5604,-2.482
2.5704,2.939
2.5804,0.038
2.5904,-10.839
2.6004,3.991
2.6104,-2.330
2.6204,-2.956
2.6304,2.117
2.6404,1.420
2.6504,2.476
2.6604,-5.934
2.6704,-3.424
2.6804,4.515
2.6904,-2.782
2.7005,-2.478
2.7105,3.500
2.7205,2.596
2.7305,-2.463
2.7405,-0.127
2.7505,8.268
2.7605,1.727
2.7705,-3.244
2.7805,0.901
2.7905,0.531
2.8005,-0.421
2.8105,0.481
2.8205,-1.982
2.8305,-1.311
2.8405,-3.842
2.8505,-3.400
2.8605,0.605
2.8705,-2.222
2.8805,2.457
2.8905,0.553
2.9005,-3.943
2.9105,2.248
2.9205,-0.692
2.9305,-1.366
2.9405,-7.188
2.9505,2.374
2.9605,-3.576
2.9705,-0.206
2.9805,1.672
2.9905,2.147
3.0005,6.717
3.0105,1.089
3.0205,-2.571
3.0305,-3.446
3.0405,3.464
3.0505,3.640
3.0605,1.728
3.0705,0.721
3.0805,4.991
3.0905,-7.011
3.1005,-2.333
3.1105,-5.237
3.1205,-1.434
3.1305,-3.212
3.1405,-6.429
3.1505,-3.422
3.1605,-0.679
3.1705,-2.127
3.1805,4.215
3.1905,2.311
3.2005,2.812
3.2105,0.114
3.2205,0.348
3.2305,3.185
3.2405,0.853
3.2505,2.821
3.2605,-0.566
3.2705,1.637
3.2805,-2.696
3.2905,-0.660
3.3006,-1.897
3.3106,-4.351
3.3206,-2.885
3.3306,1.630
3.3406,1.517
3.3506,-1.366
3.3606,6.629
3.3706,-2.459
3.3806,2.527
3.3906,-4.344
3.4006,0.728
3.4106,-2.252
3.4206,-0.590
3.4306,-3.935
3.4406,-7.080
3.4506,3.169
3.4606,1.352
3.4706,2.189
3.4806,2.726
3.4906,2.155
3.5006,-5.639
3.5106,4.126
3.5206,-0.993
3.5306,5.038
3.5406,-3.150
3.5506,1.271
3.5606,-2.995
3.5706,2.247
3.5806,0.618
3.5906,2.399
3.6006,2.434
3.6106,2.921
3.6206,-0.775
3.6306,1.840
3.6406,-7.194
3.6506,-3.577
3.6606,-0.771
3.6706,2.554
3.6806,1.070
3.6906,-3.590
3.7006,0.243
3.7106,6.442
3.7206,-5.691
3.7306,2.539
3.7406,-7.395
3.7506,2.474
3.7606,5.087
3.7706,-7.353
3.7806,3.064
3.7906,-0.163
3.8006,7.006
3.8106,-0.379
3.8206,3.609
3.8306,2.760
3.8406,-2.080
3.8506,-3.267
3.8606,-1.185
3.8706,3.580
3.8806,-4.263
3.8906,-1.933
3.9007,-10.007
3.9107,-1.218
3.9207,0.220
3.9307,-0.336
3.9407,-8.426
3.9507,1.037
3.9607,-0.466
3.9707,-4.579
3.9807,-8.497
3.9907,2.651
4.0007,9.555
4.0107,1.432
4.0207,4.424
4.0307,2.729
4.0407,-5.277
4.0507,-0.164
4.0607,8.068
4.0707,2.280
4.0807,-1.461
4.0907,3.815
4.1007,-1.309
4.1107,5.519
4.1207,0.022
4.1307,2.036
4.1407,5.963
4.1507,4.258
4.1607,1.856
4.1707,4.880
4.1807,0.602
4.1907,2.982
4.2007,-2.244
4.2107,-2.964
4.2207,-0.650
4.2307,1.339
4.2407,-3.387
