time,amplitude
0.0000,0.958
0.0100,-0.573
0.0200,2.435
0.0300,4.007
0.0400,8.133
0.0500,5.602
0.0600,2.890
0.0700,4.339
0.0800,0.122
0.0900,-1.371
0.1000,0.060
0.1100,-6.637
0.1200,-6.496
0.1300,-4.528
0.1400,-5.283
0.1500,-4.534
0.1600,-0.904
0.1700,2.360
0.1800,5.449
0.1900,2.366
0.2000,6.066
0.2100,5.956
0.2200,4.051
0.2300,3.953
0.2400,1.144
0.2500,2.855
0.2600,-2.722
0.2700,-4.079
0.2800,-0.220
0.2900,-2.094
0.3001,-2.468
0.3101,-2.183
0.3201,-0.310
0.3301,-1.127
0.3401,1.419
0.3501,4.752
0.3601,3.190
0.3701,1.231
0.3801,3.983
0.3901,3.472
0.4001,0.958
0.4101,0.333
0.4201,-0.591
0.4301,-3.545
0.4401,-0.220
0.4501,-0.997
0.4601,-0.893
0.4701,-0.943
0.4801,-3.479
0.4901,-4.270
0.5001,1.390
0.5101,-0.942
0.5201,1.151
0.5301,2.273
0.5401,2.076
0.5501,1.491
0.5601,-0.307
0.5701,-0.411
0.5801,-1.164
0.5901,2.423
0.6001,-3.465
0.6101,-3.669
0.6201,-1.256
0.6301,-2.393
0.6401,-2.206
0.6501,-1.921
0.6601,1.120
0.6701,-1.064
0.6801,-0.493
0.6901,-0.344
0.7001,2.232
0.7101,0.555
0.7201,0.973
0.7301,2.399
0.7401,1.335
0.7501,-0.345
0.7601,-1.620
0.7701,-0.603
0.7801,-3.041
0.7901,-2.380
0.8001,-4.054
0.8101,-0.760
0.8201,2.213
0.8301,0.487
0.8401,1.712
0.8501,1.177
0.8601,3.460
0.8701,1.061
0.8801,-1.026
0.8901,3.101
0.9002,2.710
0.9102,-0.126
0.9202,-0.130
0.9302,1.383
0.9402,-2.569
0.9502,-4.688
0.9602,3.163
0.9702,-1.849
0.9802,0.446
0.9902,1.147
1.0002,2.529
1.0102,0.710
1.0202,1.263
1.0302,3.193
1.0402,2.232
1.0502,1.058
1.0602,-4.051
1.0702,1.146
1.0802,-0.287
1.0902,-0.284
1.1002,-3.902
1.1102,-3.122
1.1202,-5.419
1.1302,-0.621
1.1402,-3.245
1.1502,-3.354
1.1602,2.153
1.1702,-2.552
1.1802,1.501
1.1902,-1.283
1.2002,-0.171
1.2102,-0.740
1.2202,0.932
1.2302,0.367
1.2402,-0.828
1.2502,-2.025
1.2602,0.086
1.2702,1.127
1.2802,-0.548
1.2902,0.129
1.3002,-0.452
1.3102,-0.477
1.3202,-4.157
1.3302,1.768
1.3402,-1.646
1.3502,-0.129
1.3602,-0.656
1.3702,1.103
1.3802,3.464
1.3902,1.164
1.4002,1.643
1.4102,0.946
1.4202,-2.007
1.4302,0.638
1.4402,-0.968
1.4502,0.990
1.4602,-1.981
1.4702,-0.048
1.4802,2.125
1.4902,0.180
1.5003,1.311
1.5103,1.525
1.5203,0.496
1.5303,-0.201
1.5403,-1.306
1.5503,4.442
1.5603,0.658
1.5703,0.618
1.5803,0.934
1.5903,-1.204
1.6003,-0.828
1.6103,-0.123
1.6203,-0.366
1.6303,0.232
1.6403,1.182
1.6503,0.212
1.6603,-1.443
1.6703,-0.645
1.6803,0.153
1.6903,-1.881
1.7003,-2.667
1.7103,0.887
1.7203,0.080
1.7303,0.639
1.7403,0.697
1.7503,0.559
1.7603,-0.828
1.7703,1.257
1.7803,1.397
1.7903,-0.909
1.8003,-0.713
1.8103,0.330
1.8203,-1.098
1.8303,0.557
1.8403,0.162
1.8503,0.693
1.8603,-0.313
1.8703,-1.261
1.8803,2.408
1.8903,0.488
1.9003,1.371
1.9103,-0.317
1.9203,-0.120
1.9303,1.724
1.9403,1.772
1.9503,-0.395
1.9603,-0.805
1.9703,1.792
1.9803,-2.318
1.9903,-2.508
2.0003,-2.219
2.0103,1.990
2.0203,3.087
2.0303,1.340
2.0403,0.256
2.0503,2.270
2.0603,-3.185
2.0703,-2.172
2.0803,-2.344
2.0903,1.580
2.1004,-0.286
2.1104,2.130
2.1204,-2.488
2.1304,-0.914
2.1404,2.442
2.1504,1.010
2.1604,0.804
2.1704,0.328
2.1804,-0.001
2.1904,-0.661
2.2004,0.302
2.2104,-2.198
2.2204,2.362
2.2304,1.417
2.2404,0.881
2.2504,-0.668
2.2604,2.188
2.2704,-0.322
2.2804,-2.339
2.2904,-1.789
2.3004,-2.774
2.3104,-0.535
2.3204,0.912
2.3304,-0.678
2.3404,0.978
2.3504,3.030
2.3604,-0.386
2.3704,0.782
2.3804,1.322
2.3904,0.473
2.4004,-2.875
2.4104,0.162
2.4204,-0.677
2.4304,-1.105
2.4404,0.154
2.4504,1.842
2.4604,2.704
2.4704,-0.520
2.4804,0.398
2.4904,-0.204
2.5004,3.900
2.5104,-0.937
2.5204,-1.422
2.5304,1.864
2.5404,-0.034
2.5504,0.981
2.5604,-0.196
2.5704,-0.074
2.5804,-3.515
2.5904,-2.776
2.6004,2.265
2.6104,-1.786
2.6204,2.772
2.6304,-0.989
2.6404,-0.121
2.6504,0.074
2.6604,-1.711
2.6704,1.903
2.6804,-0.096
2.6904,-1.424
2.7005,1.270
2.7105,-0.658
2.7205,-1.901
2.7305,-0.624
2.7405,0.953
2.7505,0.201
2.7605,0.575
2.7705,2.766
2.7805,-0.286
2.7905,-3.842
2.8005,-1.129
2.8105,1.181
2.8205,-0.846
2.8305,-0.878
2.8405,-0.381
2.8505,0.712
2.8605,-2.374
2.8705,0.483
2.8805,4.197
2.8905,-0.103
2.9005,-1.992
2.9105,-2.402
2.9205,-1.456
2.9305,1.529
2.9405,-2.127
2.9505,1.040
2.9605,-1.397
2.9705,-2.056
2.9805,2.915
2.9905,0.359
3.0005,-0.955
3.0105,2.319
3.0205,-0.073
3.0305,0.112
3.0405,0.413
3.0505,-0.894
3.0605,-0.272
3.0705,1.021
3.0805,3.548
3.0905,1.321
3.1005,-1.186
3.1105,0.323
3.1205,-2.298
3.1305,1.586
3.1405,-0.025
3.1505,0.841
3.1605,0.874
3.1705,1.365
3.1805,-1.334
3.1905,1.705
3.2005,-0.838
3.2105,1.249
3.2205,-1.951
3.2305,0.793
3.2405,0.498
3.2505,-0.571
3.2605,2.959
3.2705,1.525
3.2805,1.874
3.2905,0.865
3.3006,-0.288
3.3106,1.318
3.3206,0.386
3.3306,-1.403
3.3406,1.052
3.3506,0.958
3.3606,0.792
3.3706,1.582
3.3806,-2.508
3.3906,0.165
3.4006,-0.906
3.4106,0.391
3.4206,1.815
3.4306,1.091
3.4406,-1.323
3.4506,1.707
3.4606,-0.560
3.4706,1.437
3.4806,-1.087
3.4906,1.695
3.5006,0.164
3.5106,1.511
3.5206,-2.351
3.5306,-0.736
3.5406,0.934
3.5506,1.505
3.5606,1.020
3.5706,1.796
3.5806,2.151
3.5906,0.001
3.6006,-0.747
3.6106,1.049
3.6206,0.390
3.6306,-0.237
3.6406,0.102
3.6506,1.088
3.6606,-1.296
3.6706,-1.883
3.6806,1.240
3.6906,-3.388
3.7006,-0.077
3.7106,0.999
3.7206,-1.451
3.7306,0.439
3.7406,-0.080
3.7506,-0.152
3.7606,-1.420
3.7706,1.288
3.7806,-0.264
3.7906,-0.030
3.8006,-0.674
3.8106,1.096
3.8206,-0.334
3.8306,1.371
3.8406,-2.078
3.8506,1.580
3.8606,-1.167
3.8706,0.069
3.8806,-1.204
3.8906,1.031
3.9007,0.080
3.9107,-0.005
3.9207,0.516
3.9307,0.997
3.9407,3.985
3.9507,-0.686
3.9607,-1.863
3.9707,-0.545
