time,amplitude
0.0000,-1.180
0.0100,5.689
0.0200,4.118
0.0300,5.263
0.0400,4.549
0.0500,8.851
0.0600,9.608
0.0700,10.383
0.0800,4.296
0.0900,10.273
0.1000,2.865
0.1100,-0.317
0.1200,-2.405
0.1300,-2.438
0.1400,-2.250
0.1500,-1.432
0.1600,-6.762
0.1700,-9.721
0.1800,-8.597
0.1900,-6.882
0.2000,-7.032
0.2100,-7.274
0.2200,-5.788
0.2300,-2.017
0.2400,-2.669
0.2500,-4.080
0.2600,-1.692
0.2700,5.408
0.2800,2.828
0.2900,6.252
0.3001,10.114
0.3101,4.578
0.3201,10.558
0.3301,5.313
0.3401,6.294
0.3501,4.741
0.3601,3.142
0.3701,-0.967
0.3801,0.757
0.3901,-3.686
0.4001,-3.317
0.4101,-3.302
0.4201,-5.583
0.4301,-4.492
0.4401,-4.545
0.4501,-2.684
0.4601,-6.734
0.4701,-4.667
0.4801,-3.413
0.4901,-4.441
0.5001,-4.817
0.5101,2.041
0.5201,-2.473
0.5301,2.154
0.5401,1.672
0.5501,-1.401
0.5601,1.717
0.5701,0.534
0.5801,4.356
0.5901,0.441
0.6001,7.006
0.6101,0.708
0.6201,-3.988
0.6301,-2.114
0.6401,-2.539
0.6501,0.654
0.6601,-0.573
0.6701,-5.179
0.6801,-5.562
0.6901,-5.068
0.7001,0.526
0.7101,0.978
0.7201,1.501
0.7301,-0.975
0.7401,-1.225
0.7501,-0.471
0.7601,3.208
0.7701,3.650
0.7801,2.515
0.7901,1.953
0.8001,-2.008
0.8101,5.506
0.8201,3.785
0.8301,8.609
0.8401,5.168
0.8501,-1.843
0.8601,-3.136
0.8701,1.472
0.8801,4.025
0.8901,-3.165
0.9002,-6.177
0.9102,2.403
0.9202,-7.749
0.9302,-4.796
0.9402,-3.800
0.9502,-4.087
0.9602,-3.218
0.9702,-1.077
0.9802,-2.607
0.9902,1.126
1.0002,-2.806
1.0102,0.978
1.0202,0.680
1.0302,3.323
1.0402,2.199
1.0502,-1.335
1.0602,1.144
1.0702,-3.610
1.0802,0.160
1.0902,0.630
1.1002,2.799
1.1102,5.716
1.1202,-6.339
1.1302,1.756
1.1402,-2.768
1.1502,2.356
1.1602,-3.276
1.1702,3.457
1.1802,1.241
1.1902,-0.750
1.2002,-0.179
1.2102,-3.585
1.2202,-4.033
1.2302,-2.115
1.2402,1.928
1.2502,-3.360
1.2602,-2.462
1.2702,0.001
1.2802,-1.393
1.2902,-2.233
1.3002,0.982
1.3102,3.624
1.3202,-2.233
1.3302,0.893
1.3402,0.645
1.3502,4.412
1.3602,2.451
1.3702,-2.440
1.3802,-0.359
1.3902,1.818
1.4002,2.493
1.4102,-2.022
1.4202,2.361
1.4302,3.121
1.4402,-4.946
1.4502,2.695
1.4602,1.962
1.4702,-0.756
1.4802,-2.084
1.4902,-0.106
1.5003,-2.705
1.5103,1.167
1.5203,-2.927
1.5303,0.126
1.5403,-1.234
1.5503,0.863
1.5603,-1.925
1.5703,2.453
1.5803,-1.489
1.5903,-2.175
1.6003,2.581
1.6103,3.765
1.6203,-0.223
1.6303,0.788
1.6403,-2.405
1.6503,-2.844
1.6603,-1.553
1.6703,1.741
1.6803,1.527
1.6903,-1.528
1.7003,-3.349
1.7103,-2.424
1.7203,0.096
1.7303,-1.347
1.7403,0.381
1.7503,-1.197
1.7603,1.970
1.7703,-0.874
1.7803,0.281
1.7903,6.969
1.8003,-5.123
1.8103,0.524
1.8203,-4.686
1.8303,1.125
1.8403,-0.171
1.8503,3.909
1.8603,-2.482
1.8703,0.206
1.8803,-1.756
1.8903,-1.087
1.9003,-2.104
1.9103,2.997
1.9203,-3.276
1.9303,-1.449
1.9403,-0.924
1.9503,1.649
1.9603,1.004
1.9703,-0.552
1.9803,-0.959
1.9903,0.203
2.0003,-0.973
2.0103,0.945
2.0203,2.615
2.0303,-2.762
2.0403,-4.693
2.0503,4.456
2.0603,-0.637
2.0703,3.286
2.0803,-0.407
2.0903,0.072
2.1004,3.671
2.1104,-3.496
2.1204,-1.052
2.1304,1.219
2.1404,-1.544
2.1504,-1.994
2.1604,-1.566
2.1704,-3.327
2.1804,1.683
2.1904,1.038
2.2004,0.212
2.2104,4.140
2.2204,-1.970
2.2304,-3.119
2.2404,-2.056
2.2504,0.769
2.2604,3.190
2.2704,-0.030
2.2804,-1.884
2.2904,1.831
2.3004,-1.721
2.3104,0.520
2.3204,0.084
2.3304,-4.333
2.3404,-3.251
2.3504,0.811
2.3604,3.896
2.3704,2.053
2.3804,-0.404
2.3904,6.490
2.4004,2.949
2.4104,0.610
2.4204,-2.674
2.4304,-4.799
2.4404,-3.221
2.4504,4.153
2.4604,-3.554
2.4704,-1.559
2.4804,-0.594
2.4904,-1.141
2.5004,0.944
2.5104,4.053
2.5204,1.931
2.5304,1.508
2.5404,2.319
2.5504,1.542
2.5604,3.640
2.5704,-2.241
2.5804,-2.449
2.5904,0.069
2.6004,3.716
2.6104,2.100
2.6204,2.553
2.6304,4.694
2.6404,2.507
2.6504,1.016
2.6604,5.659
2.6704,0.547
2.6804,-2.044
2.6904,1.956
2.7005,0.272
2.7105,0.842
2.7205,-0.816
2.7305,1.448
2.7405,0.055
2.7505,1.560
2.7605,-1.934
2.7705,-3.896
2.7805,-2.740
2.7905,2.329
2.8005,-0.968
2.8105,-4.111
2.8205,-0.255
2.8305,-0.388
2.8405,-4.425
2.8505,0.125
2.8605,-3.590
2.8705,1.407
2.8805,-2.225
2.8905,2.506
2.9005,1.139
2.9105,-5.531
2.9205,-1.365
2.9305,-5.382
2.9405,-0.061
2.9505,0.819
2.9605,1.838
2.9705,-0.131
2.9805,-1.624
2.9905,-0.123
3.0005,0.939
3.0105,-2.030
3.0205,-3.248
3.0305,2.809
3.0405,1.897
3.0505,-0.986
3.0605,2.190
3.0705,5.531
3.0805,4.763
3.0905,1.893
3.1005,-0.263
3.1105,-3.237
3.1205,-1.832
3.1305,-0.614
3.1405,-3.374
3.1505,-3.213
3.1605,0.417
3.1705,2.245
3.1805,-3.782
3.1905,-1.500
3.2005,-2.329
3.2105,-4.517
3.2205,1.739
3.2305,1.070
3.2405,-1.391
3.2505,1.745
3.2605,-4.971
3.2705,-0.704
3.2805,0.917
3.2905,-3.507
3.3006,-2.724
3.3106,-3.751
3.3206,1.773
3.3306,2.940
3.3406,-4.761
3.3506,0.550
3.3606,4.076
3.3706,-1.267
3.3806,-6.169
3.3906,2.283
3.4006,4.964
3.4106,2.322
3.4206,-1.287
3.4306,-1.071
3.4406,0.546
3.4506,0.447
3.4606,0.527
3.4706,1.854
3.4806,6.101
3.4906,-1.711
3.5006,-2.195
3.5106,2.214
3.5206,2.552
3.5306,-2.139
3.5406,-3.233
3.5506,1.891
3.5606,-4.094
3.5706,-0.068
3.5806,2.923
3.5906,-1.042
3.6006,2.681
3.6106,-0.056
3.6206,-2.196
3.6306,-3.389
3.6406,2.672
3.6506,0.857
3.6606,2.373
3.6706,0.578
3.6806,-1.354
3.6906,1.718
3.7006,-2.207
3.7106,-0.777
3.7206,7.089
3.7306,4.695
3.7406,2.443
3.7506,-3.165
3.7606,2.642
3.7706,3.082
3.7806,3.308
3.7906,-3.503
3.8006,0.484
3.8106,-0.469
3.8206,2.077
3.8306,-0.237
3.8406,2.631
3.8506,-3.969
3.8606,-2.100
3.8706,1.875
3.8806,-1.367
3.8906,1.468
3.9007,0.411
3.9107,2.365
3.9207,1.789
3.9307,-0.293
3.9407,1.501
3.9507,-0.710
3.9607,2.123
3.9707,0.782
3.9807,0.685
3.9907,-2.229
4.0007,-4.661
4.0107,0.950
4.0207,-1.109
4.0307,-0.609
4.0407,1.260
4.0507,0.168
4.0607,1.805
4.0707,-2.761
4.0807,-0.137
4.0907,-1.025
4.1007,-2.552
4.1107,-3.492
4.1207,-0.873
4.1307,2.496
4.1407,0.287
4.1507,0.778
4.1607,-3.153
4.1707,1.420
4.1807,-1.026
4.1907,-1.965
4.2007,0.749
4.2107,2.997
4.2207,5.752
4.2307,6.815
4.2407,1.519
4.2507,-1.786
4.2607,1.757
4.2707,-0.633
4.2807,-1.510
4.2907,5.146
4.3007,-3.043
4.3107,2.964
4.3207,0.497
4.3307,1.236
4.3407,5.816
4.3507,1.306
4.3607,1.070
4.3707,-1.643
4.3807,-3.668
4.3907,1.277
4.4007,2.817
4.4107,-1.359
4.4207,1.921
4.4307,1.049
4.4407,1.732
4.4507,0.668
4.4607,0.491
4.4707,-0.006
4.4807,-0.523
4.4907,2.581
4.5008,5.752
4.5108,2.201
4.5208,1.346
4.5308,3.440
4.5408,1.062
4.5508,0.608
4.5608,1.178
4.5708,-3.474
4.5808,-0.994
4.5908,-0.990
4.6008,-0.124
4.6108,0.347
4.6208,1.866
4.6308,-2.222
4.6408,7.538
4.6508,0.360
4.6608,1.742
4.6708,-0.709
4.6808,-1.841
4.6908,-0.740
4.7008,2.355
4.7108,0.839
4.7208,0.523
4.7308,-3.387
4.7408,-0.740
4.7508,-3.821
4.7608,-0.359
4.7708,3.186
4.7808,-1.080
4.7908,0.502
4.8008,-1.153
4.8108,3.680
4.8208,0.190
4.8308,4.327
4.8408,-0.114
4.8508,-4.466
4.8608,1.227
4.8708,-1.548
4.8808,2.029
4.8908,-0.767
4.9008,1.317
4.9108,6.890
4.9208,0.979
4.9308,-2.788
4.9408,-1.280
4.9508,0.489
4.9608,3.879
4.9708,2.211
4.9808,3.211
4.9908,-0.706
5.0008,-2.067
5.0108,3.698
5.0208,8.455
5.0308,9.902
5.0408,14.320
5.0508,10.814
5.0608,18.909
5.0708,19.144
5.0808,19.197
5.0908,22.837
5.1009,22.057
5.1109,22.224
5.1209,21.884
5.1309,24.911
5.1409,22.539
5.1509,24.182
5.1609,20.785
5.1709,19.511
5.1809,15.372
5.1909,14.501
5.2009,8.757
5.2109,10.914
5.2209,7.769
5.2309,1.882
5.2409,2.396
5.2509,-0.905
5.2609,-5.931
5.2709,-6.685
5.2809,-11.167
5.2909,-18.007
5.3009,-9.045
5.3109,-15.010
5.3209,-15.472
5.3309,-11.993
5.3409,-18.096
5.3509,-19.525
5.3609,-19.828
5.3709,-15.883
5.3809,-20.896
5.3909,-17.606
5.4009,-15.638
5.4109,-13.770
5.4209,-14.409
5.4309,-12.980
5.4409,-13.388
5.4509,-11.988
5.4609,-11.418
5.4709,-7.324
5.4809,-5.489
5.4909,1.771
5.5009,3.229
5.5109,4.796
5.5209,4.517
5.5309,9.610
5.5409,8.101
5.5509,11.266
5.5609,9.654
5.5709,15.663
5.5809,17.588
5.5909,12.302
5.6009,12.688
5.6109,12.531
5.6209,16.913
5.6309,12.776
5.6409,16.494
5.6509,12.516
5.6609,16.245
5.6709,12.733
5.6809,11.417
5.6909,8.769
5.7010,4.766
5.7110,3.643
5.7210,5.870
5.7310,5.630
5.7410,-2.953
5.7510,3.214
5.7610,-0.181
