time,amplitude
0.0000,-0.947
0.0100,0.511
0.0200,3.924
0.0300,3.943
0.0400,4.268
0.0500,2.216
0.0600,5.562
0.0700,0.196
0.0800,0.854
0.0900,-0.603
0.1000,-2.458
0.1100,-4.951
0.1200,-7.286
0.1300,-4.478
0.1400,-7.055
0.1500,-3.066
0.1600,-2.525
0.1700,1.165
0.1800,0.689
0.1900,3.643
0.2000,3.511
0.2100,3.847
0.2200,5.383
0.2300,3.105
0.2400,1.034
0.2500,5.183
0.2600,-2.561
0.2700,-5.777
0.2800,-3.628
0.2900,-0.355
0.3001,-1.512
0.3101,-3.918
0.3201,-1.236
0.3301,1.039
0.3401,4.516
0.3501,0.678
0.3601,1.983
0.3701,3.212
0.3801,1.519
0.3901,3.030
0.4001,-1.654
0.4101,-0.630
0.4201,-0.385
0.4301,-0.286
0.4401,-0.143
0.4501,-1.757
0.4601,-1.905
0.4701,-1.242
0.4801,-0.616
0.4901,-0.974
0.5001,-0.446
0.5101,-0.609
0.5201,2.031
0.5301,-1.490
0.5401,3.651
0.5501,3.695
0.5601,0.518
0.5701,0.966
0.5801,-0.308
0.5901,-1.398
0.6001,1.342
0.6101,-2.559
0.6201,-1.667
0.6301,-0.658
0.6401,-0.753
0.6501,0.316
0.6601,-1.439
0.6701,1.682
0.6801,1.191
0.6901,1.951
0.7001,-1.391
0.7101,1.603
0.7201,0.761
0.7301,-0.700
0.7401,-2.937
0.7501,-2.760
0.7601,0.805
0.7701,-0.249
0.7801,-1.640
0.7901,-1.257
0.8001,-1.217
0.8101,-0.763
0.8201,-1.405
0.8301,-3.666
0.8401,1.609
0.8501,0.672
0.8601,2.745
0.8701,3.930
0.8801,-0.450
0.8901,-0.946
0.9002,0.791
0.9102,0.207
0.9202,-0.064
0.9302,0.600
0.9402,-0.353
0.9502,-2.229
0.9602,0.139
0.9702,-0.814
0.9802,-2.071
0.9902,-0.078
1.0002,0.949
1.0102,-2.087
1.0202,3.064
1.0302,-0.141
1.0402,-0.543
1.0502,1.861
1.0602,3.116
1.0702,1.007
1.0802,0.616
1.0902,-2.034
1.1002,-1.952
1.1102,0.011
1.1202,-0.431
1.1302,1.184
1.1402,-0.825
1.1502,1.063
1.1602,-0.934
1.1702,2.553
1.1802,-0.697
1.1902,-0.110
1.2002,1.128
1.2102,-0.150
1.2202,2.843
1.2302,-0.955
1.2402,-1.232
1.2502,2.669
1.2602,0.081
1.2702,-0.916
1.2802,-0.486
1.2902,-0.757
1.3002,0.055
1.3102,-0.939
1.3202,-1.288
1.3302,-0.602
1.3402,1.174
1.3502,-1.248
1.3602,0.252
1.3702,-1.457
1.3802,2.449
1.3902,2.574
1.4002,-0.195
1.4102,-0.780
1.4202,-0.615
1.4302,-1.205
1.4402,-2.096
1.4502,0.695
1.4602,-0.858
1.4702,0.489
1.4802,-2.662
1.4902,-0.728
1.5003,-1.983
1.5103,-0.155
1.5203,0.341
1.5303,3.273
1.5403,1.912
1.5503,0.196
1.5603,-0.357
1.5703,0.830
1.5803,-0.337
1.5903,-0.430
1.6003,-1.016
1.6103,-3.245
1.6203,-0.153
1.6303,-1.321
1.6403,-1.179
1.6503,-0.136
1.6603,-0.394
1.6703,0.628
1.6803,0.935
1.6903,-0.395
1.7003,-0.403
1.7103,2.828
1.7203,2.445
1.7303,-0.403
1.7403,0.988
1.7503,-2.863
1.7603,1.207
1.7703,0.228
1.7803,-1.180
1.7903,-0.758
1.8003,0.975
1.8103,-0.693
1.8203,1.005
1.8303,-0.581
1.8403,0.193
1.8503,-0.458
1.8603,-0.032
1.8703,-2.002
1.8803,-0.337
1.8903,0.956
1.9003,2.090
1.9103,-2.571
1.9203,-2.165
1.9303,0.351
1.9403,-2.349
1.9503,0.648
1.9603,-0.268
1.9703,-3.149
1.9803,-0.565
1.9903,1.304
2.0003,0.217
2.0103,0.928
2.0203,1.211
2.0303,1.905
2.0403,-0.482
2.0503,-0.030
2.0603,0.563
2.0703,1.345
2.0803,-0.475
2.0903,-0.542
2.1004,-0.144
2.1104,0.078
2.1204,0.303
2.1304,-2.024
2.1404,-0.905
2.1504,-0.163
2.1604,0.068
2.1704,2.073
2.1804,-0.901
2.1904,0.550
2.2004,-1.522
2.2104,2.116
2.2204,-1.801
2.2304,3.828
2.2404,0.021
2.2504,0.644
2.2604,3.598
2.2704,-0.657
2.2804,0.316
2.2904,1.202
2.3004,-2.644
2.3104,-1.491
2.3204,0.956
2.3304,1.612
2.3404,0.117
2.3504,1.411
2.3604,-1.445
2.3704,1.301
2.3804,0.076
2.3904,-0.067
2.4004,0.674
2.4104,-1.924
2.4204,-2.422
2.4304,1.535
2.4404,0.293
2.4504,-2.234
2.4604,-1.422
2.4704,1.662
2.4804,-1.298
2.4904,0.591
2.5004,0.164
2.5104,0.060
2.5204,-0.344
2.5304,-0.919
2.5404,1.332
2.5504,-2.989
2.5604,-2.985
2.5704,-0.593
2.5804,-1.820
2.5904,-1.536
2.6004,-1.545
2.6104,0.555
2.6204,1.356
2.6304,2.614
2.6404,1.642
2.6504,-1.919
2.6604,1.369
2.6704,0.018
2.6804,-1.246
2.6904,0.340
2.7005,2.332
2.7105,-0.776
2.7205,2.222
2.7305,1.922
2.7405,-1.168
2.7505,0.867
2.7605,0.335
2.7705,0.123
2.7805,1.314
2.7905,-1.044
2.8005,2.805
2.8105,-1.318
2.8205,0.006
2.8305,0.989
2.8405,0.328
2.8505,-1.778
2.8605,-0.319
2.8705,1.191
2.8805,1.432
2.8905,0.691
2.9005,0.495
2.9105,-2.182
2.9205,0.229
2.9305,2.041
2.9405,1.371
2.9505,0.443
2.9605,0.588
2.9705,0.956
2.9805,0.084
2.9905,1.192
3.0005,0.625
3.0105,-2.012
3.0205,0.440
3.0305,-0.656
3.0405,0.759
3.0505,0.715
3.0605,-1.116
3.0705,-0.683
3.0805,-2.252
3.0905,1.039
3.1005,0.738
3.1105,-1.897
3.1205,1.199
3.1305,-1.940
3.1405,0.754
3.1505,2.110
3.1605,1.725
3.1705,1.126
3.1805,0.583
3.1905,-0.635
3.2005,-0.412
3.2105,1.990
3.2205,-1.578
3.2305,0.824
3.2405,-2.228
3.2505,-2.475
3.2605,0.253
3.2705,0.271
3.2805,-1.065
3.2905,-0.454
3.3006,0.707
3.3106,0.844
3.3206,0.798
3.3306,-1.174
3.3406,-2.083
3.3506,0.683
3.3606,-0.271
3.3706,-0.575
3.3806,0.898
3.3906,1.705
3.4006,-3.328
3.4106,2.423
3.4206,-1.332
3.4306,-0.821
3.4406,-1.402
3.4506,2.951
3.4606,-0.469
3.4706,-1.214
3.4806,1.432
3.4906,0.424
3.5006,-3.284
3.5106,1.166
3.5206,-0.941
3.5306,-0.495
3.5406,-0.666
3.5506,2.126
3.5606,-0.373
3.5706,2.125
3.5806,1.295
3.5906,1.817
3.6006,-1.753
3.6106,0.007
3.6206,-0.497
3.6306,-0.257
3.6406,-0.796
3.6506,-0.709
3.6606,-0.243
3.6706,1.629
3.6806,0.441
3.6906,-2.462
3.7006,-0.218
3.7106,0.738
3.7206,-0.513
3.7306,1.254
3.7406,0.604
3.7506,-3.598
3.7606,1.935
3.7706,0.624
3.7806,0.730
3.7906,-0.599
3.8006,-1.456
3.8106,-2.749
3.8206,-0.338
3.8306,-0.869
3.8406,2.319
3.8506,-2.860
3.8606,-0.049
3.8706,0.906
