time,amplitude
0.0000,-0.976
0.0100,4.564
0.0200,4.882
0.0300,6.509
0.0400,4.760
0.0500,4.283
0.0600,3.573
0.0700,2.256
0.0800,-1.258
0.0900,-0.581
0.1000,0.341
0.1100,-4.536
0.1200,-4.575
0.1300,-6.976
0.1400,-2.862
0.1500,-0.739
0.1600,-1.687
0.1700,0.921
0.1800,5.860
0.1900,5.605
0.2000,3.762
0.2100,2.704
0.2200,2.091
0.2300,5.459
0.2400,0.621
0.2500,1.954
0.2600,-2.766
0.2700,-4.819
0.2800,-2.137
0.2900,-4.810
0.3001,-1.866
0.3101,-1.096
0.3201,-1.110
0.3301,0.604
0.3401,2.155
0.3501,-1.910
0.3601,4.119
0.3701,1.332
0.3801,2.771
0.3901,2.394
0.4001,3.183
0.4101,1.277
0.4201,-0.926
0.4301,-3.809
0.4401,-4.974
0.4501,-2.673
0.4601,-3.455
0.4701,-3.701
0.4801,-1.787
0.4901,-0.498
0.5001,-0.953
0.5101,1.571
0.5201,3.178
0.5301,2.891
0.5401,1.404
0.5501,-1.786
0.5601,3.779
0.5701,3.863
0.5801,0.244
0.5901,0.061
0.6001,-1.007
0.6101,-3.292
0.6201,-4.379
0.6301,-2.263
0.6401,-2.621
0.6501,-1.517
0.6601,-3.120
0.6701,1.563
0.6801,1.919
0.6901,3.910
0.7001,1.301
0.7101,4.408
0.7201,4.468
0.7301,1.878
0.7401,0.243
0.7501,-1.635
0.7601,-5.950
0.7701,-1.958
0.7801,1.374
0.7901,-2.902
0.8001,-3.713
0.8101,-1.723
0.8201,-1.357
0.8301,-1.113
0.8401,-2.008
0.8501,0.624
0.8601,2.111
0.8701,-1.810
0.8801,1.895
0.8901,3.162
0.9002,2.073
0.9102,0.786
0.9202,-0.247
0.9302,-1.719
0.9402,-2.950
0.9502,-3.385
0.9602,-0.613
0.9702,-1.757
0.9802,-0.800
0.9902,0.073
1.0002,-1.897
1.0102,-1.981
1.0202,1.262
1.0302,-1.353
1.0402,2.735
1.0502,5.009
1.0602,4.506
1.0702,-0.708
1.0802,1.405
1.0902,-0.815
1.1002,-1.976
1.1102,-1.360
1.1202,-1.263
1.1302,1.366
1.1402,1.428
1.1502,0.190
1.1602,-1.196
1.1702,1.620
1.1802,-0.806
1.1902,0.144
1.2002,0.681
1.2102,1.326
1.2202,1.687
1.2302,-2.971
1.2402,-1.443
1.2502,2.808
1.2602,1.844
1.2702,-1.840
1.2802,0.925
1.2902,-2.733
1.3002,-1.392
1.3102,-1.089
1.3202,-1.893
1.3302,1.426
1.3402,1.183
1.3502,0.004
1.3602,0.246
1.3702,0.158
1.3802,1.004
1.3902,-0.117
1.4002,1.753
1.4102,0.973
1.4202,0.151
1.4302,-0.906
1.4402,-2.692
1.4502,-1.825
1.4602,-1.248
1.4702,1.030
1.4802,-1.784
1.4902,0.753
1.5003,0.011
1.5103,0.255
1.5203,1.296
1.5303,1.562
1.5403,0.945
1.5503,-1.450
1.5603,1.418
1.5703,-0.134
1.5803,1.233
1.5903,1.859
1.6003,-2.791
1.6103,0.604
1.6203,-1.716
1.6303,-0.173
1.6403,-0.334
1.6503,0.498
1.6603,-1.820
1.6703,-0.258
1.6803,-0.362
1.6903,-2.212
1.7003,-0.775
1.7103,2.304
1.7203,-1.835
1.7303,-0.148
1.7403,0.828
1.7503,0.932
1.7603,1.451
1.7703,-1.795
1.7803,-0.208
1.7903,1.701
1.8003,2.537
1.8103,0.856
1.8203,1.031
1.8303,-0.634
