time,amplitude
0.0000,0.418
0.0100,3.327
0.0200,2.598
0.0300,4.208
0.0400,10.299
0.0500,10.243
0.0600,6.777
0.0700,9.889
0.0800,5.274
0.0900,4.006
0.1000,9.389
0.1100,2.727
0.1200,0.457
0.1300,-3.656
0.1400,-3.949
0.1500,-4.766
0.1600,-7.341
0.1700,-9.061
0.1800,-5.511
0.1900,-6.647
0.2000,-4.917
0.2100,-3.928
0.2200,-1.813
0.2300,-4.850
0.2400,-8.397
0.2500,-0.196
0.2600,1.034
0.2700,0.197
0.2800,0.560
0.2900,3.858
0.3001,6.976
0.3101,5.436
0.3201,8.460
0.3301,9.263
0.3401,6.831
0.3501,3.421
0.3601,1.719
0.3701,1.198
0.3801,-4.952
0.3901,-2.181
0.4001,-6.541
0.4101,-7.327
0.4201,-0.118
0.4301,-5.678
0.4401,-3.375
0.4501,-6.177
0.4601,-6.255
0.4701,-1.179
0.4801,-6.752
0.4901,1.547
0.5001,4.866
0.5101,0.502
0.5201,1.043
0.5301,8.074
0.5401,0.499
0.5501,5.538
0.5601,0.405
0.5701,3.739
0.5801,3.370
0.5901,4.444
0.6001,2.263
0.6101,3.062
0.6201,4.558
0.6301,5.014
0.6401,-6.937
0.6501,2.074
0.6601,-2.078
0.6701,-0.436
0.6801,-6.886
0.6901,-3.780
0.7001,-1.386
0.7101,-4.844
0.7201,-2.086
0.7301,-0.765
0.7401,-0.529
0.7501,-3.070
0.7601,2.071
0.7701,2.545
0.7801,4.382
0.7901,-0.316
0.8001,2.025
0.8101,2.602
0.8201,5.700
0.8301,3.528
0.8401,0.003
0.8501,3.285
0.8601,6.856
0.8701,0.050
0.8801,-1.038
0.8901,-2.983
0.9002,-2.332
0.9102,-5.044
0.9202,-0.002
0.9302,-3.322
0.9402,-3.140
0.9502,0.595
0.9602,-2.621
0.9702,1.659
0.9802,-1.310
0.9902,-2.013
1.0002,2.619
1.0102,-0.005
1.0202,0.193
1.0302,5.973
1.0402,4.880
1.0502,2.662
1.0602,4.278
1.0702,-1.352
1.0802,-1.620
1.0902,1.779
1.1002,-4.215
1.1102,5.279
1.1202,-2.328
1.1302,-1.864
1.1402,-2.838
1.1502,-2.726
1.1602,0.416
1.1702,0.453
1.1802,-2.026
1.1902,-0.291
1.2002,1.295
1.2102,-1.234
1.2202,-3.345
1.2302,-0.614
1.2402,-5.419
1.2502,0.950
1.2602,-1.352
1.2702,-0.259
1.2802,0.053
1.2902,1.680
1.3002,4.716
1.3102,3.629
1.3202,2.827
1.3302,-0.990
1.3402,2.765
1.3502,6.139
1.3602,1.329
1.3702,-1.249
1.3802,-1.882
1.3902,1.849
1.4002,-1.587
1.4102,-0.251
1.4202,-3.945
1.4302,-1.467
1.4402,0.640
1.4502,-2.506
1.4602,3.842
1.4702,-0.592
1.4802,-1.787
1.4902,0.033
1.5003,1.862
1.5103,1.934
1.5203,1.768
1.5303,2.133
1.5403,1.191
1.5503,-1.766
1.5603,1.839
1.5703,4.228
1.5803,-0.778
1.5903,2.896
1.6003,1.680
1.6103,1.710
1.6203,1.570
1.6303,3.426
1.6403,-0.129
1.6503,0.196
1.6603,-1.731
1.6703,-3.844
1.6803,-7.523
1.6903,1.411
1.7003,5.584
1.7103,-2.198
1.7203,-1.976
1.7303,-2.651
1.7403,-0.710
1.7503,5.299
1.7603,-1.816
1.7703,-2.882
1.7803,-1.377
1.7903,-1.557
1.8003,3.247
1.8103,2.044
1.8203,1.155
1.8303,1.601
1.8403,-2.543
1.8503,-1.139
1.8603,4.399
1.8703,-1.037
1.8803,0.370
1.8903,2.180
1.9003,-2.655
1.9103,1.148
1.9203,-4.908
1.9303,-1.838
1.9403,2.853
1.9503,-1.032
1.9603,-4.390
1.9703,-1.555
1.9803,-0.287
1.9903,1.670
2.0003,0.912
2.0103,-3.569
2.0203,2.782
2.0303,-3.023
2.0403,1.316
2.0503,0.995
2.0603,1.782
2.0703,-0.901
2.0803,0.945
2.0903,2.600
2.1004,0.144
2.1104,0.735
2.1204,-1.174
2.1304,0.894
2.1404,-2.456
2.1504,-1.240
2.1604,-2.655
2.1704,0.483
2.1804,-0.548
2.1904,-0.217
2.2004,-3.173
2.2104,-2.447
2.2204,1.707
