time,amplitude
0.0000,1.803
0.0100,4.870
0.0200,3.991
0.0300,2.094
0.0400,5.399
0.0500,6.227
0.0600,2.182
0.0700,3.167
0.0800,2.382
0.0900,1.125
0.1000,-2.410
0.1100,-3.221
0.1200,-5.808
0.1300,-4.204
0.1400,-4.661
0.1500,-6.467
0.1600,-1.858
0.1700,2.077
0.1800,2.187
0.1900,5.694
0.2000,3.509
0.2100,5.069
0.2200,4.859
0.2300,1.136
0.2400,1.157
0.2500,-0.715
0.2600,-0.722
0.2700,-2.965
0.2800,-5.174
0.2900,-1.044
0.3001,-4.162
0.3101,-4.117
0.3201,-0.953
0.3301,-0.915
0.3401,0.892
0.3501,3.207
0.3601,1.808
0.3701,3.410
0.3801,2.637
0.3901,0.690
0.4001,2.329
0.4101,-1.686
0.4201,0.977
0.4301,-3.401
0.4401,-3.799
0.4501,-3.893
0.4601,-4.277
0.4701,-4.432
0.4801,-1.746
0.4901,0.133
0.5001,2.016
0.5101,2.144
0.5201,0.107
0.5301,1.298
0.5401,2.316
0.5501,0.315
0.5601,2.899
0.5701,1.659
0.5801,-0.198
0.5901,-1.980
0.6001,-0.985
0.6101,-4.864
0.6201,0.573
0.6301,-3.787
0.6401,0.754
0.6501,-3.299
0.6601,-1.439
0.6701,0.061
0.6801,1.752
0.6901,4.549
0.7001,2.157
0.7101,0.015
0.7201,1.575
0.7301,1.542
0.7401,-0.156
0.7501,-0.131
0.7601,-0.705
0.7701,-1.511
0.7801,0.879
0.7901,-0.559
0.8001,-0.424
0.8101,1.135
0.8201,-0.460
0.8301,0.058
0.8401,0.103
0.8501,0.088
0.8601,0.437
0.8701,2.183
0.8801,4.005
0.8901,0.807
0.9002,1.052
0.9102,1.345
0.9202,-0.965
0.9302,-2.619
0.9402,0.590
0.9502,-1.636
0.9602,0.799
0.9702,1.192
0.9802,-1.067
0.9902,1.949
1.0002,-1.304
1.0102,0.895
1.0202,3.318
1.0302,0.116
1.0402,2.787
1.0502,-0.671
1.0602,2.752
1.0702,-0.130
1.0802,-0.471
1.0902,2.831
1.1002,-0.199
1.1102,-0.833
1.1202,0.403
1.1302,-2.022
1.1402,-0.338
1.1502,1.590
1.1602,-0.856
1.1702,-0.507
1.1802,1.151
1.1902,0.828
1.2002,0.683
1.2102,1.958
1.2202,-1.697
1.2302,-1.821
1.2402,-1.303
1.2502,0.136
1.2602,-1.410
1.2702,-2.918
1.2802,-1.526
1.2902,-1.117
1.3002,-1.287
