tiempo,amplitud
0.000000,0.000305422
0.010000,0.000444806
0.020000,0.000680438
0.030000,0.000761411
0.040000,0.000812106
0.050000,0.000824957
0.060000,0.000612492
0.070000,8.39515e-05
0.080000,-0.00014511
0.090000,0.000545033
0.100000,0.00161034
0.110000,0.00197416
0.120000,0.000661051
0.130000,-0.00159461
0.140000,-0.00155218
0.150000,0.00177207
0.160000,0.00476148
0.170000,0.00468175
0.180000,0.000122624
0.190000,-0.00556965
0.200000,-0.00428837
0.210000,0.00369043
0.220000,0.011262
0.230000,0.00872053
0.240000,-0.00422262
0.250000,-0.00953575
0.260000,-0.00160236
0.270000,0.00569096
0.280000,0.00718559
0.290000,0.00665596
0.300000,0.0022942
0.310000,-0.00709897
0.320000,-0.0119166
0.330000,-0.0088148
0.340000,-0.00318556
0.350000,0.00395965
0.360000,0.00694672
0.370000,0.0040563
0.380000,-0.00115684
0.390000,-0.00630317
0.400000,-0.00645547
0.410000,0.000405231
0.420000,0.00861212
0.430000,0.00630184
0.440000,-0.00804169
0.450000,-0.0247172
0.460000,-0.0313104
0.470000,-0.0165525
0.480000,0.0158758
0.490000,0.045013
0.500000,0.0380093
0.510000,-0.00202229
0.520000,-0.0316183
0.530000,-0.0482079
0.540000,-0.0601318
0.550000,-0.0513537
0.560000,-0.031315
0.570000,-0.0143124
0.580000,-0.00414648
0.590000,-5.87064e-05
0.600000,0.0191139
0.610000,0.047746
0.620000,0.0476905
0.630000,0.0273501
0.640000,0.0245833
0.650000,0.0219599
0.660000,-0.00866825
0.670000,-0.0363138
0.680000,-0.0406898
0.690000,-0.0312134
0.700000,-0.0111824
0.710000,-0.000489052
0.720000,-0.00646222
0.730000,-0.0119942
0.740000,-0.00166915
0.750000,0.0195806
0.760000,0.0222641
0.770000,0.00563997
0.780000,-0.00373801
0.790000,-0.00678462
0.800000,-0.0207817
0.810000,-0.042562
0.820000,-0.0517953
0.830000,-0.0276366
0.840000,0.0309168
0.850000,0.0902688
0.860000,0.0913873
0.870000,0.0295108
0.880000,-0.0266721
0.890000,-0.0319765
0.900000,0.0115508
0.910000,0.0279309
0.920000,-0.0370576
0.930000,-0.0965342
0.940000,-0.106713
0.950000,-0.109636
0.960000,-0.0692204
0.970000,0.0178564
0.980000,0.0791264
0.990000,0.10331
1.000000,0.0859329
1.010000,0.036658
1.020000,0.00401098
1.030000,-0.00601073
1.040000,-0.00161646
1.050000,-6.79069e-05
1.060000,-0.02788
1.070000,-0.069495
1.080000,-0.0817194
1.090000,-0.0307863
1.100000,0.0233658
1.110000,0.00375167
1.120000,-0.038101
1.130000,-0.0473412
1.140000,-0.0447474
1.150000,-0.0392076
1.160000,-0.0374043
1.170000,-0.0546885
1.180000,-0.0482714
1.190000,0.0161316
1.200000,0.0702355
1.210000,0.0592375
1.220000,0.038445
1.230000,0.0405356
1.240000,0.0244682
1.250000,-0.00300629
1.260000,-0.01364
1.270000,-0.0297397
1.280000,-0.0556753
1.290000,-0.0645576
1.300000,-0.0489128
1.310000,-0.0153944
1.320000,0.0205903
1.330000,0.0255406
1.340000,-0.00452063
1.350000,-0.0250608
1.360000,-0.0191172
1.370000,-0.0148712
1.380000,-0.0289355
1.390000,-0.0370548
1.400000,-0.0219665
1.410000,-0.00110872
1.420000,-0.00206983
1.430000,-0.0315814
1.440000,-0.0679156
1.450000,-0.077376
1.460000,-0.0452207
1.470000,-0.0127657
1.480000,-0.00120354
1.490000,-0.00249612
1.500000,-0.0186922
1.510000,-0.0244548
1.520000,-0.00919743
1.530000,0.000569755
1.540000,-0.00604827
1.550000,-0.0232975
1.560000,-0.0411117
1.570000,-0.0434801
1.580000,-0.0367461
1.590000,-0.0233861
1.600000,0.00689478
1.610000,0.0276735
1.620000,0.028119
1.630000,0.0431271
1.640000,0.0580207
1.650000,0.0304397
1.660000,-0.0182282
1.670000,-0.0760574
1.680000,-0.133672
1.690000,-0.138094
1.700000,-0.105847
1.710000,-0.098818
1.720000,-0.111959
1.730000,-0.0894405
1.740000,-0.0349204
1.750000,-0.00378578
1.760000,0.00273197
1.770000,-0.0123817
1.780000,-0.0258494
1.790000,0.00499001
1.800000,0.0373282
1.810000,0.0486716
1.820000,0.0695135
1.830000,0.0956403
1.840000,0.111924
1.850000,0.0937824
1.860000,0.0473447
1.870000,0.0202142
1.880000,0.0083668
1.890000,-0.0194151
1.900000,-0.058212
1.910000,-0.100894
1.920000,-0.0735466
1.930000,0.0737879
1.940000,0.179826
1.950000,0.175654
1.960000,0.155266
1.970000,0.123325
1.980000,0.0852471
1.990000,0.0654491
2.000000,0.0561056
2.010000,0.0387415
2.020000,-0.0119343
2.030000,-0.0789582
2.040000,-0.129968
2.050000,-0.100772
2.060000,0.021614
2.070000,0.080472
2.080000,0.00830189
2.090000,-0.068578
2.100000,-0.0937273
2.110000,-0.131123
2.120000,-0.180496
2.130000,-0.194618
2.140000,-0.183125
2.150000,-0.179839
2.160000,-0.186748
2.170000,-0.178694
2.180000,-0.161706
2.190000,-0.151088
2.200000,-0.126364
2.210000,-0.0768567
2.220000,-0.0290203
2.230000,-0.019706
2.240000,-0.0483537
2.250000,-0.0658621
2.260000,-0.0702765
2.270000,-0.0688591
2.280000,-0.0338605
2.290000,0.00627944
2.300000,0.0399067
2.310000,0.0443223
2.320000,-0.0381767
2.330000,-0.130982
2.340000,-0.172436
2.350000,-0.216446
2.360000,-0.229461
2.370000,-0.185506
2.380000,-0.146878
2.390000,-0.113321
2.400000,-0.0701626
2.410000,-0.0194698
2.420000,0.0541142
2.430000,0.140831
2.440000,0.218898
2.450000,0.2753
2.460000,0.296894
2.470000,0.258524
2.480000,0.185774
2.490000,0.154886
2.500000,0.183439
2.510000,0.227633
2.520000,0.261201
2.530000,0.297383
2.540000,0.32431
2.550000,0.327933
2.560000,0.31443
2.570000,0.286146
2.580000,0.267261
2.590000,0.253717
2.600000,0.222862
2.610000,0.189054
2.620000,0.171396
2.630000,0.164692
2.640000,0.142351
2.650000,0.128839
2.660000,0.152442
2.670000,0.159768
2.680000,0.132081
2.690000,0.100581
2.700000,0.128835
2.710000,0.248036
2.720000,0.374903
2.730000,0.434105
2.740000,0.436447
2.750000,0.470036
2.760000,0.543021
2.770000,0.574541
2.780000,0.539198
2.790000,0.467986
2.800000,0.449059
2.810000,0.445752
2.820000,0.323182
2.830000,0.169437
2.840000,0.0788265
2.850000,-0.0121935
2.860000,-0.114888
2.870000,-0.221121
2.880000,-0.167776
2.890000,0.126385
2.900000,0.375221
2.910000,0.409384
2.920000,0.317074
2.930000,0.270408
2.940000,0.382149
2.950000,0.50693
2.960000,0.481987
2.970000,0.409553
2.980000,0.377523
2.990000,0.322907
3.000000,0.234379
3.010000,0.177436
3.020000,0.159163
3.030000,0.110011
3.040000,0.0428326
3.050000,0.00287758
3.060000,-0.0519819
3.070000,-0.115688
3.080000,-0.159887
3.090000,-0.206916
3.100000,-0.214486
3.110000,-0.219799
3.120000,-0.302822
3.130000,-0.405745
3.140000,-0.457798
3.150000,-0.366607
3.160000,-0.251427
3.170000,-0.32213
3.180000,-0.386821
3.190000,-0.321357
3.200000,-0.267478
3.210000,-0.239614
3.220000,-0.222623
3.230000,-0.25632
3.240000,-0.278799
3.250000,-0.243684
3.260000,-0.264303
3.270000,-0.352131
3.280000,-0.423834
3.290000,-0.530125
3.300000,-0.597157
3.310000,-0.507419
3.320000,-0.41799
3.330000,-0.477806
3.340000,-0.61887
3.350000,-0.704889
3.360000,-0.671525
3.370000,-0.501892
3.380000,-0.33665
3.390000,-0.320176
3.400000,-0.307272
3.410000,-0.223338
3.420000,-0.16103
3.430000,-0.16377
3.440000,-0.20821
3.450000,-0.224706
3.460000,-0.224628
3.470000,-0.221654
3.480000,-0.175816
3.490000,-0.123843
3.500000,-0.0690237
3.510000,0.0203981
3.520000,0.0286649
3.530000,-0.0921793
3.540000,-0.189926
3.550000,-0.182504
3.560000,-0.0980174
3.570000,0.0149332
3.580000,0.0934127
3.590000,0.125308
