time,amplitude
0.0000,-6.336
0.0100,0.878
0.0200,14.286
0.0300,10.821
0.0400,8.302
0.0500,12.806
0.0600,18.412
0.0700,17.316
0.0800,14.474
0.0900,16.623
0.1000,19.527
0.1100,18.610
0.1200,10.349
0.1300,10.739
0.1400,7.376
0.1500,1.974
0.1600,3.935
0.1700,3.572
0.1800,-3.491
0.1900,-6.727
0.2000,-1.790
0.2100,-18.129
0.2200,-2.451
0.2300,-8.733
0.2400,-10.013
0.2500,-6.432
0.2600,-8.278
0.2700,-11.911
0.2800,-5.171
0.2900,-6.344
0.3001,-8.997
0.3101,-5.012
0.3201,-3.661
0.3301,-1.355
0.3401,-5.215
0.3501,0.033
0.3601,2.711
0.3701,1.646
0.3801,8.651
0.3901,9.246
0.4001,11.001
0.4101,14.658
0.4201,7.188
0.4301,9.661
0.4401,2.048
0.4501,3.796
0.4601,5.040
0.4701,6.909
0.4801,3.020
0.4901,1.785
0.5001,-2.934
0.5101,-0.760
0.5201,-7.619
0.5301,-1.148
0.5401,-5.756
0.5501,-0.700
0.5601,-10.110
0.5701,-6.690
0.5801,-0.213
0.5901,-16.432
0.6001,-5.131
0.6101,1.275
0.6201,-2.853
0.6301,-11.103
0.6401,-2.926
0.6501,-2.907
0.6601,-0.595
0.6701,3.768
0.6801,2.464
0.6901,11.001
0.7001,4.646
0.7101,-0.882
0.7201,5.734
0.7301,0.605
0.7401,6.201
0.7501,12.084
0.7601,7.642
0.7701,1.452
0.7801,6.747
0.7901,0.111
0.8001,2.151
0.8101,2.554
0.8201,4.714
0.8301,2.815
0.8401,-4.636
0.8501,-1.808
0.8601,-0.038
0.8701,-5.677
0.8801,-0.610
0.8901,1.762
0.9002,-1.466
0.9102,-6.295
0.9202,3.967
0.9302,-1.990
0.9402,-0.641
0.9502,-3.907
0.9602,0.385
0.9702,-14.480
0.9802,0.570
0.9902,-7.465
1.0002,4.104
1.0102,0.536
1.0202,-7.019
1.0302,-0.960
1.0402,-0.184
1.0502,2.518
1.0602,-2.104
1.0702,7.084
1.0802,-0.203
1.0902,10.195
1.1002,4.482
1.1102,3.675
1.1202,4.659
1.1302,-2.071
1.1402,-0.006
1.1502,2.318
1.1602,-0.045
1.1702,1.088
1.1802,5.629
1.1902,1.003
1.2002,-7.110
1.2102,-5.064
1.2202,-1.912
1.2302,-5.600
1.2402,-6.642
1.2502,-1.520
1.2602,-3.146
1.2702,-1.410
1.2802,0.574
1.2902,-1.235
1.3002,0.414
1.3102,1.255
1.3202,-2.106
1.3302,2.470
1.3402,-3.220
1.3502,-1.498
1.3602,5.485
1.3702,5.755
1.3802,-2.747
1.3902,-0.613
1.4002,7.176
1.4102,11.607
1.4202,-0.954
1.4302,0.090
1.4402,10.511
1.4502,0.059
1.4602,3.830
1.4702,1.491
1.4802,3.061
1.4902,2.918
1.5003,6.166
1.5103,-2.787
1.5203,6.905
1.5303,5.931
1.5403,0.393
1.5503,-4.539
1.5603,-6.815
1.5703,0.628
1.5803,2.784
1.5903,3.720
1.6003,-2.159
1.6103,-2.080
1.6203,-4.027
1.6303,1.174
1.6403,1.302
1.6503,1.320
1.6603,1.659
1.6703,1.515
1.6803,-4.128
1.6903,0.283
1.7003,-3.383
1.7103,-1.136
1.7203,5.895
1.7303,1.746
1.7403,6.038
1.7503,3.275
1.7603,-2.763
1.7703,6.033
1.7803,-3.896
1.7903,6.753
1.8003,-3.806
1.8103,-4.841
1.8203,3.650
1.8303,5.781
1.8403,-0.246
1.8503,1.897
1.8603,-2.311
1.8703,2.298
1.8803,5.301
1.8903,-1.952
1.9003,-0.104
1.9103,4.700
1.9203,-3.347
1.9303,-6.195
1.9403,1.615
1.9503,4.025
1.9603,-0.178
1.9703,-0.291
1.9803,-6.924
1.9903,-0.108
2.0003,9.098
2.0103,1.390
2.0203,4.486
2.0303,3.779
2.0403,7.658
2.0503,-1.710
2.0603,1.449
2.0703,6.845
2.0803,-3.797
2.0903,6.126
2.1004,4.203
2.1104,3.468
2.1204,1.388
2.1304,-4.337
2.1404,1.162
2.1504,-1.652
2.1604,0.647
2.1704,-0.703
2.1804,0.264
2.1904,-7.518
2.2004,-2.588
2.2104,4.504
2.2204,9.925
2.2304,-2.207
2.2404,1.049
2.2504,2.141
2.2604,1.982
2.2704,0.707
2.2804,-2.009
2.2904,-3.415
2.3004,-3.096
2.3104,-3.323
2.3204,5.456
2.3304,-3.926
2.3404,2.008
2.3504,-4.340
2.3604,-2.867
2.3704,-0.196
2.3804,1.961
2.3904,2.073
2.4004,-4.317
2.4104,-0.793
2.4204,5.367
2.4304,1.370
2.4404,-3.287
2.4504,-4.250
2.4604,5.349
2.4704,8.039
2.4804,-8.509
2.4904,-6.117
2.5004,1.347
2.5104,-4.670
2.5204,0.142
2.5304,4.073
2.5404,-3.071
2.5504,2.135
2.5604,-4.726
2.5704,-3.837
2.5804,-0.265
2.5904,1.556
2.6004,-0.651
2.6104,0.185
2.6204,-0.846
2.6304,-1.275
2.6404,-5.310
2.6504,-0.746
2.6604,-7.661
2.6704,-0.711
2.6804,0.741
2.6904,-1.032
2.7005,-4.040
2.7105,-1.507
2.7205,-0.954
2.7305,2.804
2.7405,-3.599
2.7505,5.368
2.7605,-8.549
2.7705,-8.379
2.7805,4.039
2.7905,2.289
2.8005,3.675
2.8105,7.218
2.8205,2.142
2.8305,-4.676
2.8405,2.106
2.8505,3.317
2.8605,2.502
2.8705,-2.911
2.8805,3.598
2.8905,6.504
2.9005,-1.622
2.9105,4.247
2.9205,1.193
2.9305,0.752
2.9405,-3.087
2.9505,-5.024
2.9605,0.447
2.9705,1.550
2.9805,0.994
2.9905,1.079
3.0005,-0.674
3.0105,-1.770
3.0205,2.162
3.0305,-0.457
3.0405,1.772
3.0505,8.236
3.0605,-3.835
3.0705,-1.205
3.0805,-6.834
3.0905,4.758
3.1005,-4.099
3.1105,3.054
3.1205,9.797
3.1305,0.132
3.1405,-7.437
3.1505,-6.473
3.1605,-0.184
3.1705,-4.722
3.1805,4.820
3.1905,-5.536
3.2005,2.070
3.2105,-1.912
3.2205,-0.649
3.2305,0.509
3.2405,-0.594
3.2505,-3.398
3.2605,-5.542
3.2705,2.424
3.2805,2.043
3.2905,-2.457
3.3006,5.028
3.3106,0.802
3.3206,1.440
3.3306,-2.561
3.3406,3.915
3.3506,-3.715
3.3606,-2.917
3.3706,-6.292
3.3806,-2.495
3.3906,-2.948
3.4006,-1.757
3.4106,-2.177
3.4206,1.086
3.4306,-3.927
3.4406,0.268
3.4506,1.736
3.4606,-4.046
3.4706,-0.678
3.4806,-0.096
3.4906,8.964
3.5006,0.509
3.5106,-4.064
3.5206,2.628
3.5306,4.040
3.5406,-1.495
3.5506,8.163
3.5606,-1.996
3.5706,-2.877
3.5806,3.754
3.5906,-3.311
3.6006,-3.960
3.6106,-6.276
3.6206,-1.222
3.6306,-6.621
3.6406,-4.661
3.6506,2.070
3.6606,4.004
3.6706,-2.317
3.6806,-4.451
3.6906,-3.063
3.7006,4.938
3.7106,-0.634
3.7206,-8.380
3.7306,3.416
3.7406,-8.388
3.7506,0.963
3.7606,2.228
3.7706,0.887
3.7806,2.991
3.7906,0.467
3.8006,0.884
3.8106,8.111
3.8206,-1.697
3.8306,-5.010
3.8406,3.309
3.8506,7.237
3.8606,0.314
3.8706,2.542
3.8806,0.242
3.8906,-2.196
3.9007,6.725
3.9107,2.133
3.9207,0.593
3.9307,4.992
3.9407,-0.954
3.9507,1.379
3.9607,1.282
3.9707,-0.230
3.9807,3.248
3.9907,0.824
4.0007,1.849
4.0107,0.603
4.0207,2.453
4.0307,1.714
4.0407,-1.578
4.0507,-2.535
4.0607,-0.172
4.0707,0.871
4.0807,-2.878
