tiempo,aceleracion
0.00,0.00
0.05,0.50
0.10,1.20
0.15,2.10
0.20,3.20
0.25,4.50
0.30,5.80
0.35,7.10
0.40,8.20
0.45,8.90
0.50,9.10
0.55,8.70
0.60,7.80
0.65,6.50
0.70,5.00
0.75,3.30
0.80,1.60
0.85,0.00
0.90,-1.40
0.95,-2.60
1.00,-3.50
1.05,-4.10
1.10,-4.30
1.15,-4.10
1.20,-3.50
1.25,-2.60
1.30,-1.50
1.35,-0.40
1.40,0.70
1.45,1.70
1.50,2.50
1.55,3.00
1.60,3.20
1.65,3.00
1.70,2.50
1.75,1.80
1.80,1.00
1.85,0.20
1.90,-0.50
1.95,-1.10
2.00,-1.50
2.05,-1.70
2.10,-1.60
2.15,-1.30
2.20,-0.90
2.25,-0.40
2.30,0.10
2.35,0.50
2.40,0.90
2.45,1.10
2.50,1.20
2.55,1.10
2.60,0.90
2.65,0.60
2.70,0.30
2.75,0.00
2.80,-0.30
2.85,-0.50
2.90,-0.60
2.95,-0.70
3.00,-0.60
3.05,-0.50
3.10,-0.40
3.15,-0.20
3.20,0.00
3.25,0.20
3.30,0.40
3.35,0.50
3.40,0.60
3.45,0.60
3.50,0.50
3.55,0.40
3.60,0.30
3.65,0.10
3.70,0.00
3.75,-0.10
3.80,-0.20
3.85,-0.30
3.90,-0.30
3.95,-0.20
4.00,-0.20
4.05,-0.10
4.10,0.00
4.15,0.10
4.20,0.20
4.25,0.20
4.30,0.20
4.35,0.20
4.40,0.10
4.45,0.10
4.50,0.00
4.55,0.00
4.60,-0.10
4.65,-0.10
4.70,-0.10
4.75,-0.10
4.80,0.00
4.85,0.00
4.90,0.00
4.95,0.10
5.00,0.10
5.05,0.10
5.10,0.10
5.15,0.10
5.20,0.00
5.25,0.00
5.30,0.00
5.35,0.00
5.40,0.00
5.45,0.00
5.50,0.00
5.55,0.00
5.60,0.00
5.65,0.00
5.70,0.00
5.75,0.00
5.80,0.00
5.85,0.00
5.90,0.00
5.95,0.00
6.00,0.00
